file_name,folder,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_bandwidth,zero_crossing_rate
01.wav,Adele,0.8540057623143865,0.7198716940046038,0.37974818125715837,0.5709848613979032,0.4660954362382177,0.47170117886380936,0.7111825646133663,0.3324255242988238,0.3850844948425367,0.3686618338169755,0.47750642849816816,0.461846349189333,0.5261317705492646,0.27022789899556415,0.3728403091155867,0.2688348660205102,0.2919753432229615,0.30412575432050426,0.24228800828071792,0.3580340953618376,0.27903297771468477,0.38576934439626787,0.5447365814175245,0.36430288039263636,0.3303760276593426,0.6018385245992559,0.633555476536346,0.8365015776828053,0.8875413220385311,0.8453238113237933,0.6104018044470976,0.7445611550557357,0.43128020723292526
02.wav,Adele,0.938875200274293,0.49470098523167666,0.3882366141612872,0.7712136390594331,0.23240299179006346,0.8266857019932212,0.35280828701743644,0.5556631235876056,0.19186181781997746,0.8975288247794555,0.35955104647812863,0.6031358785942859,0.5084509103744091,0.34495267806341645,0.3086210632237996,0.3831809106184214,0.4646975154781383,0.3966046961994021,0.5717555217844751,0.5082188166641177,0.5251060256121898,0.4287190190188183,0.4505266892417416,0.6103369512841208,0.40681968436067356,0.5762316844481322,0.5283842074557746,0.7065731856975568,0.7248564582101893,0.7040420294756903,0.45527932447018477,0.8713265605605706,0.835497598136355
03.wav,Adele,0.8670042869114949,0.6045954002218167,0.5463113941855525,0.7496603441408263,0.3009987335728588,0.664334579368375,0.4835415079612211,0.5721615233263451,0.39116405860994585,0.5556258737330712,0.5046074812352851,0.4774314851355736,0.5391666095650564,0.5014171313632136,0.4003583097360332,0.3268086098868989,0.28247624430968515,0.31897036237461934,0.5643096296717602,0.4911226546024941,0.47584597893281505,0.36767916903455977,0.5241547585204751,0.5204907985356951,0.4063778674918913,0.73973917915035,0.6035824946528204,0.7704529392269883,0.8290219153901066,0.7924405573267018,0.589941826281069,0.8033168420483502,0.677328969443178
04.wav,Adele,0.8185265273594763,0.631826955045315,0.4744302587043491,0.6503000819596729,0.4933580631969102,0.5490812310471382,0.5897925132302844,0.3892996797148747,0.49007130002215793,0.5476342191530412,0.6466276104263311,0.5399409412932836,0.4590865390330888,0.39734919389321044,0.35220312775397977,0.3353261803798976,0.3990292045004523,0.3062236760841437,0.4049446573757181,0.3914039104156479,0.46277585300909674,0.5142703696085829,0.5669911168178696,0.6745523397630312,0.4297158729270421,0.6106760794331696,0.6154628713152103,0.6608677540028627,0.8098542847899061,0.7830034579873579,0.5892860074763034,0.7434736413263405,0.553760838807299
05.wav,Adele,0.7679248556635503,0.787895063436027,0.5155574558926819,0.375533203713986,0.7475324755826369,0.4692630634289812,0.5367867153839901,0.36505578493084817,0.3524648438907348,0.2362244026890271,0.39787298471152593,0.17579666193906557,0.38853982087173666,0.39485924780822157,0.8313246907403409,0.4417430822316882,0.24386535016608418,0.3439464789024945,0.8241262240726995,0.5950294769422463,0.33849691133592236,0.40007100931313455,0.4210535799108322,0.3681516016697374,0.2584437563109523,0.7307169883339452,0.5494825664639211,0.7466842686427703,0.7711965899392846,0.7411872006708351,0.6639669751260642,0.5686733342729821,0.382875440397671
06.wav,Adele,0.8597347040126128,0.6514399051822374,0.4362740206042918,0.6140531036718865,0.40800305312188306,0.5439299536273373,0.5232314302006948,0.4688953683928076,0.35060335863791053,0.5652406358043752,0.47586351736880755,0.4524578278010464,0.46008925354567,0.4844234686222803,0.47812357214037954,0.4687832999636292,0.39721395700581236,0.3024397153918271,0.39750475032776394,0.4222185655399459,0.47634342206293956,0.3433240156510164,0.476625182336993,0.5057063636116159,0.38845335712539475,0.7285892790706159,0.6173606638702486,0.7661917829558668,0.8227155535013156,0.7632422112243871,0.5766895583701719,0.760082465219385,0.5705424388105862
07.wav,Adele,0.7846771111146863,0.6026098995226118,0.6685115503513092,0.6769315315413407,0.6988540311704319,0.5611484289858761,0.6813814843488085,0.41802579496157205,0.4160303306522526,0.4951403260633406,0.6802055276687277,0.5325942376771847,0.540604130723177,0.503147257027005,0.5724794547255534,0.7352050707072343,0.7254581504123145,0.4454906534461325,0.369987453853337,0.47507075191319215,0.6391940857660202,0.5198350181179789,0.6199716239222358,0.5633541581305628,0.4662521531878157,0.5776159485861911,0.6682366466686379,0.7820923398909018,0.8240144614912623,0.7149684899499109,0.4719795232093416,0.6650382678655413,0.48892109771776165
08.wav,Adele,0.8426899003556754,0.7361879757067552,0.431795775100369,0.6596506855500376,0.3735196264431202,0.6060939468719583,0.49797606253561477,0.30426755972681996,0.4740113484581883,0.29877457728947554,0.6431347588861404,0.5757033558324343,0.3486861796833699,0.3985193795283201,0.3403801787918806,0.366217606936756,0.40862749087993894,0.48207859513525736,0.45705233601793116,0.36023196149081715,0.43962612475959006,0.3467166469120421,0.507545303253201,0.46476474711067667,0.4185643482170279,0.7279607120059283,0.60566003747392,0.7274437083403863,0.7713023688908492,0.7311353471585647,0.5842005059242041,0.7738252124399148,0.5137123547919923
09.wav,Adele,0.8373664289832712,0.626244483134062,0.4356087163190382,0.6944075530191192,0.645124799724244,0.5750417728714774,0.654651893108421,0.4132439903493835,0.4387189889377871,0.6037796142219446,0.5112459874105759,0.4617337758747304,0.3724222954926299,0.38226046624400806,0.38263094022345795,0.2910627501405933,0.3397635613296262,0.35122555965149216,0.3204812470872685,0.42193277123997575,0.4446042882172243,0.5849499181310855,0.7441055945108529,0.5242345465788382,0.3737897230183107,0.84051839999468,0.6362123488849434,0.8447213730957072,0.9006506394878041,0.8235548673713627,0.5917640218630731,0.75948286048259,0.5144916077953154
10.wav,Adele,0.9401134425010438,0.48900126009151834,0.39163080611739864,0.7586435800398252,0.26576734515031636,0.7238946963021281,0.468348494771173,0.6170703422447811,0.24108487100551548,0.8771374983092834,0.5570312286345802,0.6301867727300349,0.5238133263621113,0.4173129804231769,0.5161250981843518,0.5012163113126835,0.5499897525762082,0.46758456799273496,0.448241196223649,0.37030886887953074,0.37966967978631344,0.46023216592565536,0.5105728900662247,0.5703825562793421,0.3872838477911432,0.5392302312164714,0.6111705756928931,0.7202251960360424,0.754531697395093,0.6746985104269286,0.4211276903356432,0.7592792171565872,0.813897756401334
